Thứ hạng,Tên chiến dịch,Tăng trong kỳ,Lũy kế cuối kỳ,Lượt xem đầu kỳ,Số link,Số ngày có dữ liệu,Từ ngày,Đến ngày
1,Hương Sen Việt,302153,302378,225,6,9,2026-09-06,2026-09-26
2,Quảng Ninh,135057,149791,14734,1,21,2026-09-06,2026-09-26
3,Gia Lai,107225,120384,13159,1,21,2026-09-06,2026-09-26
4,Lâm Đồng,95254,110425,15171,1,21,2026-09-06,2026-09-26
5,Cần Thơ,93417,100978,7561,1,21,2026-09-06,2026-09-26
6,Quân ủy Trung ương,88066,97645,9579,1,21,2026-09-06,2026-09-26
7,Quảng Ngãi,72140,90345,18205,1,21,2026-09-06,2026-09-26
8,Vĩnh Long,58144,77248,19104,1,21,2026-09-06,2026-09-26
9,Khánh Hòa,44570,57990,13420,1,21,2026-09-06,2026-09-26
10,TP. Hồ Chí Minh,36896,42704,5808,1,21,2026-09-06,2026-09-26
11,Quảng Trị,35086,41470,6384,1,21,2026-09-06,2026-09-26
12,An Giang,30197,35693,5496,1,21,2026-09-06,2026-09-26
13,Đảng ủy Chính phủ,27222,28788,1566,1,21,2026-09-06,2026-09-26
14,Đồng Nai,20472,24156,3684,1,21,2026-09-06,2026-09-26
15,Đà Nẵng,18698,20736,2038,1,21,2026-09-06,2026-09-26
16,Thanh Hóa,18483,19543,1060,1,21,2026-09-06,2026-09-26
17,Hà Tĩnh,18356,21026,2670,1,21,2026-09-06,2026-09-26
18,Lào Cai,17731,20051,2320,1,21,2026-09-06,2026-09-26
19,Đắk Lắk,16886,16909,23,1,21,2026-09-06,2026-09-26
20,Sơn La,15600,20804,5204,1,21,2026-09-06,2026-09-26
21,Bắc Ninh,15414,15447,33,1,21,2026-09-06,2026-09-26
22,Đảng ủy MTTQ VN,15176,21378,6202,1,21,2026-09-06,2026-09-26
23,Hà Nội,15019,15974,955,1,21,2026-09-06,2026-09-26
24,Đồng Tháp,14996,17577,2581,1,21,2026-09-06,2026-09-26
25,Hải Phòng,14884,16126,1242,1,21,2026-09-06,2026-09-26
26,Lạng Sơn,14369,17321,2952,1,21,2026-09-06,2026-09-26
27,Điện Biên,14199,14343,144,1,21,2026-09-06,2026-09-26
28,Ninh Bình,13547,18306,4759,1,21,2026-09-06,2026-09-26
29,Hưng Yên,13482,16318,2836,1,21,2026-09-06,2026-09-26
30,Đảng ủy CATW,12803,21798,8995,1,21,2026-09-06,2026-09-26
31,Thái Nguyên,10190,11617,1427,1,21,2026-09-06,2026-09-26
32,Tuyên Quang,9801,11134,1333,1,21,2026-09-06,2026-09-26
33,Tây Ninh,7722,8872,1150,1,21,2026-09-06,2026-09-26
34,Đảng ủy CQĐTW,5671,5707,36,1,21,2026-09-06,2026-09-26
35,Nghệ An,4838,6332,1494,1,21,2026-09-06,2026-09-26
36,Cao Bằng,4763,5494,731,1,21,2026-09-06,2026-09-26
37,Lai Châu,3644,4398,754,1,21,2026-09-06,2026-09-26
38,Phú Thọ,3631,4690,1059,1,21,2026-09-06,2026-09-26
39,TP. Huế,3316,3557,241,1,21,2026-09-06,2026-09-26
40,Cà Mau,1160,1429,269,1,21,2026-09-06,2026-09-26
41,Đảng ủy Quốc hội,11,18,7,1,21,2026-09-06,2026-09-26
